1. Selon vous, quels sont les principaux enjeux du logement dans la MEL ? (3 réponses maximum);2. Selon vous, quels sont les principaux freins pour trouver un logement à louer dans la MEL ? (2 réponses maximum);3. Selon vous, quels sont les principaux freins pour acheter un logement dans la MEL ? (2 réponses maximum);4. Selon vous, quels sont les principaux freins pour réaliser des travaux de rénovation ? (2 réponses maximum);5. Selon vous, pourquoi souhaite-t-on habiter dans la MEL ?;6. Identifiez-vous la MEL comme un acteur du logement ?;7. Connaissez-vous la Maison de l'Habitat durable ?;8. Avez-vous déjà visité la Maison de l'Habitat durable ?;9. Connaissez-vous les aides de l'Agence Nationale de l'Habitat (Anah) et de la MEL pour la rénovation des logements privés ?;10. Si oui, par quel biais avez-vous été informé de l'existence de ces aides ?;11. Les avez-vous mobilisées dans le cadre d'un projet de rénovation ?;12. Auprès de qui vous adresseriez-vous pour faire une demande de logement social dans la métropole ?;13. Avez-vous déjà fait une demande de logement social sur le territoire métropolitain ?;14. Qu'attendriez-vous de la MEL pour vous aider à trouver un logement ? (2 réponses maximum);15. Qu'attendriez-vous de la MEL pour faciliter l'accession à la propriété ?;16. Qu'attendriez-vous de la MEL pour vous aider dans vos travaux de rénovation ? (3 réponses maximum);17. Quel est votre âge ?;18. Quelle est votre situation professionnelle ?;19. Dans quelle commune, habitez-vous ?;20. Dans quel type de logement habitez-vous actuellement ?;21. Quelle est votre situation au regard de ce logement ?;22. Qui vit avec vous dans votre logement ?
construire plus de logements,améliorer la mixité sociale,améliorer l'habitat existant sur le plan énergétique;des montants de loyers trop élevés dans les quartiers souhaités;des prix trop élevés dans les quartiers souhaités,peu de biens adaptés à mes besoins (nombre de pièces,accessibilité du logement au handicap,etc.);des difficultés de financement,un dispositif d'aides trop complexe;attractivité de la métropole;Oui;Oui;Non;Non;;;autre;Non;un lieu d'information pour vous aider dans vos démarches (aides,financement,etc.);une meilleure information sur les projets d'accession à prix abordable;un recueil numérique de bonnes pratiques,témoignages d'habitants;35-49 ans;emploi salarié;wasquehal;collectif;locataire d'un logement privé;je vis seul sans enfant
mieux réguler les prix et loyers du marché,rénover l'habitat dégradé,faciliter l'accès des jeunes au logement;des montants de loyers trop élevés dans les quartiers souhaités,autre;des biens vétustes nécessitant trop de travaux,ne se prononce pas;;;Oui;Oui;Oui;Non;;;;;un lieu d'information pour vous aider dans vos démarches (aides,financement,etc.);une meilleure information sur les projets d'accession à prix abordable;des ateliers de formation pour acquérir des savoirs faire de base pour les travaux,un recueil numérique de bonnes pratiques,témoignages d'habitants,un accompagnement pas à pas pour votre projet (administratif,technique,financier,etc.);18-24 ans;étudiant;Lille;collectif;locataire d'un logement privé;je vis en colocation
améliorer la mixité sociale,rénover l'habitat dégradé,améliorer l'habitat existant sur le plan énergétique;des montants de loyers trop élevés dans les quartiers souhaités,des logements de trop faible qualité;ne se prononce pas;trouver de l'aide,un conseil adapté,un dispositif d'aides trop complexe;Habiter la MEL, c'est avant tout habiter à proximité de tout (culturelle, institution, transport ...). C'est également pouvoir se déplacer en transport en commun facilement, et donc pouvoir laisser de côté la voiture.;Oui;Non;Non;Oui;autre;Non;votre mairie;Oui;un lieu d'information pour vous aider dans vos démarches (aides,financement,etc.),un accompagnement pour les groupes d'habitants ayant un projet logement en commun (habitat participatif);une meilleure information sur les projets d'accession à prix abordable;des tutoriels vidéos pour les travaux,un accompagnement pas à pas pour votre projet (administratif,technique,financier,etc.),un service d'aide pour trouver des prêts travaux adaptés (courtage bancaire);18-24 ans;étudiant;Hellemmes;individuel;locataire d'un logement privé;je vis en couple sans enfant
améliorer l'habitat existant sur le plan énergétique,adapter les logements au vieillissement,résorber les bidonvilles;des logements de trop faible qualité,peu de biens adaptés à mes besoins (nombre de pièces,accessibilité du logement au handicap,etc.);des prix trop élevés dans les quartiers souhaités,des biens vétustes nécessitant trop de travaux;trouver de l'aide,un conseil adapté,la crainte que les travaux se passent mal;Bassin d'emploi, offre de services, variété culturelle, situation géographique avantageuse.;Oui;Non;Non;Non;ne se prononce pas;Non;un bailleur social;Non;un lieu d'information pour vous aider dans vos démarches (aides,financement,etc.),un accompagnement pour les groupes d'habitants ayant un projet logement en commun (habitat participatif);une meilleure information sur les projets d'accession à prix abordable;un service de mise en relation avec les entreprises qualifiées,un accompagnement pas à pas pour votre projet (administratif,technique,financier,etc.);25-35 ans;emploi salarié;Lille 59000;collectif;locataire d'un logement privé;je vis en couple sans enfant
mieux réguler les prix et loyers du marché,rénover l'habitat dégradé,améliorer l'habitat existant sur le plan énergétique,faciliter l'accès des jeunes au logement,résorber les bidonvilles;des montants de loyers trop élevés dans les quartiers souhaités,des logements de trop faible qualité,des garanties financières trop sélectives;des prix trop élevés dans les quartiers souhaités,des biens vétustes nécessitant trop de travaux;des difficultés de financement,trouver une entreprise qualifiée,trouver de l'aide,un conseil adapté,un dispositif d'aides trop complexe,la crainte que les travaux se passent mal;Pour être suffisamment proche de son lieu de travail et pour avoir plus facilement accès aux structures de loisirs ou culturelles.;Oui;Non;Non;Non;;Non;autre;Non;un lieu d'information pour vous aider dans vos démarches (aides,financement,etc.);un accompagnement pour étudier les financements possibles;des ateliers de formation pour acquérir des savoirs faire de base pour les travaux,un recueil numérique de bonnes pratiques,témoignages d'habitants,un accompagnement pas à pas pour votre projet (administratif,technique,financier,etc.);50-64 ans;sans emploi;Wambrechies;individuel;propriétaire occupant;je vis en couple sans enfant
construire plus de logements,mieux réguler les prix et loyers du marché,rénover l'habitat dégradé;des montants de loyers trop élevés dans les quartiers souhaités,des garanties financières trop sélectives;des prix trop élevés dans les quartiers souhaités,des difficultés pour obtenir un prêt;trouver une entreprise qualifiée,un dispositif d'aides trop complexe;La proximité avec tous les équipements culturels, sportifs, une vie sociale plus spontanée et riche. Il y a plus de facilité à se déplacer, à travailler...;Non;Oui;Oui;Oui;bouche à oreille;Oui;un bailleur social;Oui;un meilleur conseil pour obtenir un logement social,un accompagnement pour les groupes d'habitants ayant un projet logement en commun (habitat participatif);une meilleure information sur les projets d'accession à prix abordable;un service de mise en relation avec les entreprises qualifiées,un forum d'échanges entre habitants,un préfinancement des travaux;35-49 ans;emploi salarié;La Madeleine;collectif;propriétaire occupant;je vis seul sans enfant
construire plus de logements,rénover l'habitat dégradé,améliorer l'habitat existant sur le plan énergétique;des montants de loyers trop élevés dans les quartiers souhaités,des garanties financières trop sélectives;des prix trop élevés dans les quartiers souhaités,des difficultés pour obtenir un prêt;des difficultés de financement,un dispositif d'aides trop complexe;pour profiter de toutes les aménités urbaines, pour être au plus proche de son lieu de travail et limiter ses déplacements quotidiens;Oui;Oui;Oui;Oui;autre;Non;autre;Non;un recensement des logements sociaux accessibles pour les personnes âgées ou en situation de handicap,un accompagnement pour les groupes d'habitants ayant un projet logement en commun (habitat participatif);une meilleure information sur les projets d'accession à prix abordable;un service de mise en relation avec les entreprises qualifiées,des tutoriels vidéos pour les travaux,un préfinancement des travaux;35-49 ans;emploi salarié;Lille;collectif;propriétaire occupant;je vis en couple avec enfant(s)
mieux réguler les prix et loyers du marché,rénover l'habitat dégradé,améliorer l'habitat existant sur le plan énergétique;des montants de loyers trop élevés dans les quartiers souhaités,des garanties financières trop sélectives;ne se prononce pas;ne se prononce pas;"- Offre culturelle
- Travail
- Transports en commun";Oui;Oui;Oui;Oui;conseillers travaillant pour la MEL chargés d'accompagner les habitants dans leur projet de rénovation , autre;Non;autre;Non;un lieu d'information pour vous aider dans vos démarches (aides,financement,etc.),un accompagnement pour les groupes d'habitants ayant un projet logement en commun (habitat participatif);une meilleure information sur les projets d'accession à prix abordable;des ateliers de formation pour acquérir des savoirs faire de base pour les travaux,un forum d'échanges entre habitants,un accompagnement pas à pas pour votre projet (administratif,technique,financier,etc.);25-35 ans;emploi non salarié;Lille;individuel;locataire d'un logement privé;je vis en couple sans enfant
mieux réguler les prix et loyers du marché,rénover l'habitat dégradé,adapter les logements au vieillissement;des montants de loyers trop élevés dans les quartiers souhaités,des logements de trop faible qualité;des prix trop élevés dans les quartiers souhaités,des biens vétustes nécessitant trop de travaux;des difficultés de financement,la crainte que les travaux se passent mal;Carrefour central de l’Europe, attractivité des entreprises de haute technologie, sites d’excellence;Non;Non;Non;Oui;internet;Non;votre mairie;Oui;un lieu d'information pour vous aider dans vos démarches (aides,financement,etc.),un meilleur conseil pour obtenir un logement social;un accompagnement pour étudier les financements possibles;un service de mise en relation avec les entreprises qualifiées,un accompagnement pas à pas pour votre projet (administratif,technique,financier,etc.),un préfinancement des travaux;25-35 ans;emploi salarié;Villeneuve-d’Ascq;individuel;propriétaire occupant;je vis en couple avec enfant(s)
améliorer la mixité sociale,rénover l'habitat dégradé,mieux organiser l'accueil des étudiants dans la MEL;des montants de loyers trop élevés dans les quartiers souhaités,des garanties financières trop sélectives;des prix trop élevés dans les quartiers souhaités,des biens vétustes nécessitant trop de travaux;des difficultés de financement,un dispositif d'aides trop complexe;"Proximité avec commerce le travail et le dispositif de transport en commun
Proximité Belgique";Non;Non;Non;Non;;Non;un bailleur social,autre;Oui;un lieu d'information pour vous aider dans vos démarches (aides,financement,etc.),un accompagnement pour les groupes d'habitants ayant un projet logement en commun (habitat participatif);une meilleure information sur les projets d'accession à prix abordable;un forum d'échanges entre habitants,un accompagnement pas à pas pour votre projet (administratif,technique,financier,etc.),un préfinancement des travaux;18-24 ans;étudiant;Aniche;collectif;locataire d'un logement social;je vis en colocation
construire plus de logements,améliorer la mixité sociale,faciliter l'accès des jeunes au logement;des montants de loyers trop élevés dans les quartiers souhaités;des prix trop élevés dans les quartiers souhaités;un dispositif d'aides trop complexe,la crainte que les travaux se passent mal;;Oui;Non;Non;Non;;Oui;votre mairie;Non;un lieu d'information pour vous aider dans vos démarches (aides,financement,etc.),un accompagnement pour les groupes d'habitants ayant un projet logement en commun (habitat participatif);une meilleure information sur les projets d'accession à prix abordable;un service de mise en relation avec les entreprises qualifiées,un recueil numérique de bonnes pratiques,témoignages d'habitants,un accompagnement pas à pas pour votre projet (administratif,technique,financier,etc.);25-35 ans;emploi salarié;ronchin;individuel;propriétaire occupant;je vis en couple avec enfant(s)
construire plus de logements,faciliter l'accès des jeunes au logement,résorber les bidonvilles;des montants de loyers trop élevés dans les quartiers souhaités,des logements de trop faible qualité;des prix trop élevés dans les quartiers souhaités,des difficultés pour obtenir un prêt;un dispositif d'aides trop complexe;"- La connectivité de Lille à l'Europe
- Tous les services offerts par la MEL (Transport, gestion de l'eau, tri des déchets, équipements)";Oui;Oui;Non;Oui;internet;Non;un bailleur social,votre mairie;Oui;autre;un accompagnement pour étudier les financements possibles;;25-35 ans;emploi non salarié;Marquette-Lez-Lille;collectif;locataire d'un logement social;je vis seul sans enfant
